ranking,band_singer,title,year,song_id,lyrics
1,Percy Faith,Theme from A Summer Place,1960,1176835,"3 ContributorsTheme From A Summer Place LyricsThere's a summer place
Where it may rain or storm
Yet I'm safe and warm
For within that summer place
Your arms reach out to me
And my heart is free from all care
For it knows

There are no gloomy skies
When seen through the eyes
Of those who are blessed with love

And the sweet secret of
A summer place
Is that it's anywhere
When two people share
All their hopes
All their dreams
All their love

And the sweet secret of a summer place
Is that it's anywhere
When two people share
All their hopes
All their dreams, all their love1Embed"
2,Jim Reeves,He'll Have to Go,1960,4626324,"8 ContributorsHe’ll Have to Go Lyrics[Verse 1]
Put your sweet lips a little closer to the phone
Let's pretend that we're together, all alone
I'll tell the man to turn the jukebox way down low
And you can tell your friend there with you he'll have to go

[Verse 2]
Whisper to me, tell me do you love me true
Or is he holding you the way I do?
Though love is blind, make up your mind, I've got to know
Should I hang up, or will you tell him he'll have to go?

[Bridge]
You can't say the words I want to hear
While you're with another man
Do you want me? Answer yes or no
Darling, I will understand

[Verse 1]
Put your sweet lips a little closer to the phone
Let's pretend that we're together, all alone
I'll tell the man to turn the jukebox way down low
And you can tell your friend there with you he'll have to goYou might also likeEmbed"
3,The Everly Brothers,Cathy's Clown,1960,134890,"15 ContributorsCathy’s Clown Lyrics[Chorus]
Don't want your love any more
Don't want your kisses, that's for sure
I die each time I hear this sound
Here he comes, that's Cathy's clown

[Bridge]
I've got to stand tall, you know a man can't crawl
For when he knows you're telling lies
And he hears them passing by
He's not a man at all

[Chorus]
Don't want your love any more
Don't want your kisses, that's for sure
I die each time I hear this sound
Here he comes, that's Cathy's clown

[Bridge]
When you see me shed a tear
And you know that it's sincere
Don't you think it's kind of sad, that you're treating me so bad?
Or don't you even care?

[Chorus]
Don't want your love any more
Don't want your kisses , that's for sure
I die each time I hear this sound
Here he comes, that's Cathy's clown
That's Cathy's clown, that's Cathy's clownYou might also like2Embed"
4,Johnny Preston,Running Bear,1960,1513892,"7 ContributorsRunning Bear Lyrics[Intro]
*vocalizations*

[Verse 1]
On the bank of the river
Stood Running Bear, young Indian brave
On the other side of the river
Stood his lovely Indian maid
Little White Dove was her name
Such a lovely sight to see
But their tribes fought with each other
So, their love could never be

[Chorus]
Running Bear loved Little White Dove
With a love big as the sky
Running Bear loved Little White Dove
With a love that couldn't die

[Verse 2]
He couldn't swim the raging river
'Cause the river was too wide
He couldn't reach Little White Dove
Waiting on the other side
In the moonlight he could see her
Throwing kisses 'cross the waves
Her little heart was beating faster
Waiting there for her brave
You might also like[Chorus]
Running Bear loved Little White Dove
With a love big as the sky
Running Bear loved Little White Dove
With a love that couldn't die

[Verse 3]
Running Bear dove in the water
Little White Dove did the same
And they swam out to each other
Through the swirling stream they came
As their hands touched and their lips met
The raging river pulled them down
Now, they'll always be together
In that happy huntin' ground

[Chorus]
Running Bear loved Little White Dove
With a love big as the sky
Running Bear loved Little White Dove
With a love that couldn't die

[Outro]
*vocalizations*1Embed"
5,Mark Dinning,Teen Angel,1960,133982,"5 ContributorsTeen Angel Lyrics[Intro]
Teen Angel
Teen Angel
Teen Angel

[Verse 1]
That fateful night
The car was stalled
Upon the railroad track
I pulled you out and we were safe
But you went running back

[Chorus]
Teen Angel
Can you hear me?
Teen Angel
Can you see me?
Are you somewhere up above?
And am I still your own true love?

[Verse 2]
What was it you
Were looking for?
That took your life that night
They said they found my high school ring
Clutched in your fingers tight
You might also like[Chorus]
Teen Angel
Can you hear me?
Teen Angel
Can you see me?
Are you somewhere up above?
And am I still your own true love?

[Verse 3]
Just sweet sixteen
And now you're gone
They've taken you away
I'll never kiss your lips again
They buried you today

[Chorus]
Teen Angel
Can you hear me?
Teen Angel
Can you see me?
Are you somewhere up above?
And am I still your own true love?

[Outro]
Teen Angel
Teen Angel
Answer me? Please!Embed"
6,Brenda Lee,I'm Sorry,1960,715354,"14 ContributorsI’m Sorry LyricsI'm sorry, so sorry
That I was such a fool
I didn't know love could be so cruel
Oh-oh-oh-oh-oh-oh-oh-yes

You tell me mistakes
Are part of being young
But that don't right
The wrong that's been done

(I'm sorry) I'm sorry
(So sorry) So sorry
Please accept my apology
But love is blind
And I was too blind to see

Oh-oh-oh-oh-oh-oh-oh-yes

You tell me mistakes
Are part of being young
But that don't right
The wrong that's been done
Oh-oh-oh-oh-oh-oh-oh-yes

I'm sorry, so sorry
Please accept my apology
But love was blind
And I was too blind to see
You might also like(Sorry)Embed"
7,Elvis Presley,It's Now or Never,1960,197252,"17 ContributorsIt’s Now or Never Lyrics[Chorus]
It's now or never
Come hold me tight
Kiss me, my darling
Be mine tonight
Tomorrow
Will be too late
It's now or never
My love won't wait

[Verse 1]
When I first saw you
With your smile so tender
My heart was captured
My soul surrendered
I spent a lifetime
Waiting for the right time
Now that you're near
The time is here at last

[Chorus]
It's now or never
Come hold me tight
Kiss me, my darling
Be mine tonight
Tomorrow
Will be too late
It's now or never
My love won't wait
You might also like[Verse 2]
Just like a willow
We would cry an ocean
If we lost true love
And sweet devotion
Your lips excite me
Let your arms invite me
For who knows when
We'll meet again this way

[Chorus]
It's now or never
Come hold me tight
Kiss me, my darling
Be mine tonight
Tomorrow
Will be too late
It's now or never
My love won't wait

[Outro]
It's now or never
My love won't wait
It's now or never
My love won't wait
It's now or never
My love won't wait
It's now or never
My love won't wait1Embed"
8,Jimmy Jones,Handy Man,1960,1193876,"6 ContributorsHandy Man LyricsComma, comma, comma, comma, come, come, comma
Yeah, yeah, yeah, yeah, yeah

Hey girls, gather 'round
Listen to what I'm putting down
Hey baby, I'm your handy man

I'm not the kind to use a pencil or rule
I'm handy with love and I'm no fool
I fix broken hearts, I know I really can

If your broken hearts need repair
I am the man to see
I whisper sweet things, you tell all your friends
They'll come running to me

Here is the main thing I want to say
I'm busy 24 hours a day
I fix broken hearts, I know I really can

If your broken hearts need repair
I am the man to see
I whisper sweet things, you tell all your friends
They'll come running to me

Here is the main thing I want to say
I'm busy 24 hours a day
I fix broken hearts, I know that I really can
You might also likeComma, comma, comma, comma, come, come, comma
Yeah, yeah, yeah, yeah, yeah
Comma, comma, comma, comma, come, come
Yeah, yeah, yeah, yeah, yeahEmbed"
9,Elvis Presley,Stuck on You,1960,197256,"15 ContributorsStuck on You Lyrics[Verse 1]
You can shake an apple off an apple tree
Shake-a, shake-a sugar, but you'll never shake me
Uh-uh-uh
No-sir-ee, uh, uh
I'm going to stick like glue
Stick, because I'm
Stuck on you

[Verse 2]
I'm going to run my fingers thru your long black hair
Squeeze you tighter than a grizzly bear
Uh-uh-uh
Yes-sir-ee, uh, uh
I'm going to stick like glue
Stick, because I'm
Stuck on you

[Verse 3]
Hide in the kitchen, hide in the hall
Ain't gonna do you no good at all
'Cause once I catch you and the kissing starts
A team of wild horses couldn't tear us apart

[Verse 4]
Try to take a tiger from his daddy's side
That's how love is going to keep us tied
Uh-uh-uh
Oh yeah, uh, uh
I'm gonna stick like glue
Stick, because I'm
Stuck on you
You might also like[Verse 3]
Hide in the kitchen, hide in the hall
Ain't gonna do you no good at all
'Cause once I catch you and the kissing starts
A team of wild horses couldn't tear us apart

[Verse 4]
Try to take a tiger from his daddy's side
That's how love is going to keep us tied
Uh-uh-uh
Yes-sir-ee, uh, uh
I'm gonna stick like glue, yeah yeah
Because I'm stuck on you

I'm gonna stick like glue, yeah yeah
Because I'm stuck on you
I'm gonna stick like glue, yeah yeah
Because I'm stuck on you4Embed"
10,Chubby Checker,The Twist,1960,75570,"21 ContributorsThe Twist Lyrics[Intro]
Come on, baby, let's, do the twist
Come on, baby, let's do the twist
Take me by my little hand and go like this

[Chorus]
Ee-yah, twist, baby, baby, twist
Ooh-ooh-ooh-yeah just like this
Come on, little miss, and do the twist

[Verse 1]
My daddy is sleepin', and Mama ain't around
Yeah, Daddy's just sleepin', and Mama ain't around
We're gonna twist 'n' twist 'n' twist 'n'
'Til we tear the house down

[Chorus]
Come on and twist, yeah, baby, twist
Ooh-ooh-ooh-yeah just like this
Come on, little miss, and do the twist, ee-yah

[Saxophone Solo]

[Verse 2]
Yeah, you should see my little sis
You should see my, my little sis
She really knows how to rock
She knows how to twist
You might also like[Chorus]
Come on and twist, yeah, baby, twist
Ooh-ooh-ooh-yeah just like this
Come on, little miss, and do the twist

[Outro]
Yeah, mess all 'round
Yeah, twist all night
Twist3Embed"
10,Chubby Checker,The Twist,1960,75570,"21 ContributorsThe Twist Lyrics[Intro]
Come on, baby, let's, do the twist
Come on, baby, let's do the twist
Take me by my little hand and go like this

[Chorus]
Ee-yah, twist, baby, baby, twist
Ooh-ooh-ooh-yeah just like this
Come on, little miss, and do the twist

[Verse 1]
My daddy is sleepin', and Mama ain't around
Yeah, Daddy's just sleepin', and Mama ain't around
We're gonna twist 'n' twist 'n' twist 'n'
'Til we tear the house down

[Chorus]
Come on and twist, yeah, baby, twist
Ooh-ooh-ooh-yeah just like this
Come on, little miss, and do the twist, ee-yah

[Saxophone Solo]

[Verse 2]
Yeah, you should see my little sis
You should see my, my little sis
She really knows how to rock
She knows how to twist
You might also like[Chorus]
Come on and twist, yeah, baby, twist
Ooh-ooh-ooh-yeah just like this
Come on, little miss, and do the twist

[Outro]
Yeah, mess all 'round
Yeah, twist all night
Twist3Embed"
1,Bobby Lewis,Tossin' and Turnin',1961,1354566,"8 ContributorsTossin’ and Turnin’ Lyrics[Intro]
Baby
Baby
You did something to me

[Verse 1]
I couldn't sleep at all last night
Just a-thinkin' of you
Baby, things weren't right

[Chorus]
Well, I was tossin' and turnin'
Turnin' and tossin'
Tossin' and turnin' all night

[Verse 2]
I kicked the blankets on the floor
Turned my pillow upside down
I never, never did before

[Chorus]
Because I was tossin' and turnin'
Turnin' and tossin'
Tossin' and turnin' all night

[Bridge]
Jumped out of bed
Turned on the light
I pulled down the shade
Went to the kitchen for a bite
Rolled up the shade
Turned off the light
I jumped back into bed
It was the middle of the night
You might also like[Verse 3]
The clock downstairs was strikin' four
Couldn't get you off my mind
I heard the milkman at the door

[Chorus]
'Cause I was tossin' and turnin'
Turnin' and tossin'
Tossin' and turnin' all night

[Instrumental Break]

[Bridge]
Jumped out of bed
Turned on the light
I pulled down the shade
Went to the kitchen for a bite
Rolled up the shade
Turned off the light
I jumped back into bed
It was the middle of the night

[Verse 3]
The clock downstairs was strikin' four
I couldn't get you off my mind
I heard the milkman at the door
[Outro]
'Cause I was tossin' and turnin', hey-hey-hey-hey
I was turnin' and tossin' all day-day-day
I was tossin', hey-hey-hey and turnin' and tossin'
Tossin' and turnin' all babe-babe-babe1Embed"
2,Patsy Cline,I Fall to Pieces,1961,683949,"14 ContributorsI Fall To Pieces Lyrics[Chorus 1]
I fall to pieces
Each time I see you again
I fall to pieces
How can I be just your friend?

[Verse 1]
You want me to act like we've never kissed
You want me to forget, pretend we've never met
And I've tried and I've tried but I haven't yet
You walk by and I fall to pieces

[Chorus 2]
I fall to pieces
Each time someone speaks your name
I fall to pieces
Time only adds to the flame

[Verse 2]
You tell me to find someone else to love
Someone who'll love me, too, the way you used to do
But each time I go out with someone new
You walk by and I fall to pieces[x2]You might also like1Embed"
3,The Highwaymen,Michael,1961,1777519,"2 ContributorsMichael Lyrics[Chorus]
(Michael, row the boat ashore, hallelujah)
(Michael, row the boat ashore, hallelujah)

[Verse 1]
Sister, help to trim the sails (Hallelujah)
Sister, help to trim the sails (Hallelujah)

[Chorus]
(Michael, row the boat ashore, hallelujah)
(Michael, row the boat ashore, hallelujah)

[Verse 2]
The River Jordan is chilly and cold (Hallelujah)
Chills the body but not the soul (Hallelujah)

[Chorus]
(Michael, row the boat ashore, hallelujah)
(Michael, row the boat ashore, hallelujah)

[Verse 3]
River is deep and the river is wide (Hallelujah)
Milk and honey on the other side (Hallelujah)

[Chorus]
(Michael, row the boat ashore, hallelujah)
(Michael, row the boat ashore, hallelujah)You might also likeEmbed"
4,Roy Orbison,Crying,1961,668460,"18 ContributorsCrying Lyrics[Verse 1]
I was alright for a while
I could smile for a while
But I saw you last night
You held my hand so tight
As you stopped to say, ""Hello""

[Chorus]
Oh, you wished me well
You couldn't tell
That I'd been crying over you
Crying over you
When you said, ""So long""
Left me standing all alone
Alone and crying, crying
Crying, crying

[Post-Chorus]
It's hard to understand
But the touch of your hand
Can start me crying

[Verse 2]
I thought that I was over you
But it's true, so true
I love you even more
Than I did before
But, darling, what can I do?
You might also like[Chorus]
For you don't love me
And I'll always be
Crying over you
Crying over you
Yes, now you're gone
And from this moment on
I'll be crying, crying
Crying, crying

[Outro]
Yeah, I'm crying, crying
Over you6Embed"
5,Del Shannon,Runaway,1961,241451,"29 ContributorsRunaway Lyrics[Verse 1]
As I walk along I wonder
A-what went wrong with our love
A love that was so strong
And as I still walk on
I think of the things we've done together
A-while our hearts were young

[Chorus]
I'm a-walkin' in the rain
Tears are fallin' and I feel the pain
Wishin' you were here by me
To end this misery
And I wonder
I wah-wah-wah-wah-wonder
Why
Why, why, why, why, why she ran away
And I wonder
A-where she will stay-ay
My little runaway
A-run, run, run, run, runaway

[Bridge]

[Chorus]
I'm a-walkin' in the rain
Tears are fallin' and I feel the pain
Wishin' you were here by me
To end this misery
I wonder
I wah-wah-wah-wah-wonder
Why
Why, why, why, why, why she ran away
And I wonder
A-where she will stay-ay
You might also like[Outro]
My little runaway
A-run, run, run, run, runaway
A-run, run, run, run, runaway
A-run, run, run, run, runaway12Embed"
6,The Jive Five,My True Story,1961,914837,"5 ContributorsMy True Story LyricsCry, cry, cry whoa, uh, oh, oh, oh, oh
Cry, cry, cry whoa, uh, oh, oh, oh, oh

There is a story, yeah
That I must tell of two lovers
That I bewail

Now they must cry, cry, cry, whoa, uh, oh, oh, oh, oh
Their blues away
(Cry, cry, cry, their blues away)

Her name was Sue, yeah
His name was Earl
His love was Lorraine

She's a wonderful girl
But they must cry, cry, cry, whoa, uh, oh, oh, oh, oh
Their blues away
(Their blues away)

Love will make you happy
And love will make you cry
Love will make the tears fall

When your lover says goodbye
And then you'll cry, cry, cry, whoa, uh, oh, oh, oh, oh
Your blues away
(Cry, cry, cry, their blues away)
You might also likeThis story ends, yeah
It was no lie
Names have been changed dear
To protect you and I

But we must cry, cry, cry, whoa, uh, oh, oh, oh, oh
Our blues away
(Cry, cry, cry)

Mm
(Whoa, uh our blues away)
We must cry
(Cry, cry, cry, whoa, uh our blues away)Embed"
