band_singer,ranking,song,title,genre,year
The Everly Brothers,70,So Sad,So Sad,['Pop'],1960
Brenda Lee,71,"[""That's All You Gotta Do""]",That's All You Gotta Do,['Rockabilly'],1960
Fats Domino,72,Walking to New Orleans,Walking to New Orleans,['R&B'],1960
Connie Francis,73,Among My Souvenirs,Among My Souvenirs,['Popular music'],1960
Bobby Rydell,74,"[""Swingin' School""]",Swingin' School,['Rock and roll'],1960
Dinah Washington,75,"[""A Rockin' Good Way (To Mess Around and Fall in Love)""]",A Rockin' Good Way (To Mess Around and Fall in Love),['Soul'],1960
Neil Sedaka,76,Stairway to Heaven,Stairway to Heaven,['Pop'],1960
Paul Anka,77,My Home Town,My Home Town,['Pop'],1960
Ray Charles,78,Georgia on My Mind,Georgia on My Mind,['Traditional pop'],1960
Skip and Flip,79,Cherry Pie,Cherry Pie,['Pop'],1960
Sam Cooke,80,Wonderful World,Wonderful World,"['Rhythm and blues', 'soul']",1960
Spencer Ross,81,"[""Tracy's Theme""]",Tracy's Theme,['Pop'],1960
Lloyd Price,82,"""Lady Luck""","""Lady Luck""",[],1960
The Crests,83,"""Step by Step""","""Step by Step""",[],1960
Paul Evans,84,"""Happy-Go-Lucky Me""","""Happy-Go-Lucky Me""",[],1960
Ricky Nelson,85,Young Emotions,Young Emotions,['Ballad'],1960
Johnny Burnette,86,"[""Dreamin'""]",Dreamin',['Rockabilly'],1960
Johnny Tillotson,87,Poetry in Motion,Poetry in Motion,['Rock and roll'],1960
Annette Funicello,88,"""O Dio Mio""","""O Dio Mio""",[],1960
Joe Jones,89,You Talk Too Much,You Talk Too Much,['R&B'],1960
Johnny and the Hurricanes,90,Beatnik Fly,Beatnik Fly,"['Minstrel', 'folk']",1960
The Everly Brothers,91,When Will I Be Loved,When Will I Be Loved,['Country'],1960
Bob Luman,92,"[""Let's Think About Living""]",Let's Think About Living,['Rockabilly'],1960
Guy Mitchell,93,Heartaches by the Number,Heartaches by the Number,['Traditional pop'],1960
Anita Bryant,94,My Little Corner of the World,My Little Corner of the World,['Pop'],1960
Jackie Wilson,95,"[""Doggin' Around""]",Doggin' Around,"['R&B', 'Pop']",1960
Bobby Rydell,96,Little Bitty Girl,Little Bitty Girl,['Pop'],1960
Barrett Strong,97,"[""Money (That's What I Want)""]",Money (That's What I Want),['Rhythm and blues'],1960
Maurice Williams and the Zodiacs,98,Stay,Stay,['Doo-wop'],1960
Charlie Rich,99,"""Lonely Weekends""","""Lonely Weekends""",[],1960
Larry Hall,100,Sandy,Sandy,['Rockabilly'],1960
Bobby Lewis,1, and Turnin,Tossin' and Turnin',['R&B'],1961
Patsy Cline,2,I Fall to Pieces,I Fall to Pieces,['Country pop'],1961
The Highwaymen,3,Michael,Michael,['Folk'],1961
Roy Orbison,4,Crying,Crying,['Countryrock'],1961
Del Shannon,5,Runaway,Runaway,"['Rock and roll', 'proto-synthpop']",1961
The Jive Five,6,My True Story,My True Story,['Doo-wop'],1961
Chubby Checker,7,Pony Time,Pony Time,['R&B'],1961
The String-A-Longs,8,Wheels,Wheels,['Instrumental'],1961
Dee Clark,9,Raindrops,Raindrops,['R&B'],1961
Joe Dowell,10,Wooden Heart,Wooden Heart,"['Pop', 'folk']",1961
Lawrence Welk,11,Calcutta,Calcutta,['Easy Listening'],1961
Bobby Vee,12,Take Good Care of My Baby,Take Good Care of My Baby,"['Rock and roll', 'pop']",1961
Roy Orbison,13,Running Scared,Running Scared,"['Orchestral pop', 'Rock']",1961
The Shirelles,14,Dedicated to the One I Love,Dedicated to the One I Love,"['Pop', 'soul']",1961
