band_singer,ranking,song,title,genre,year
Arrested Development,67,People Everyday,People Everyday,[],1992
Genesis,68,No Son of Mine,No Son of Mine,[],1992
Marky Mark and the Funky Bunch,69,Wildside,Wildside,['Hip hop'],1992
Bryan Adams,70,Do I Have to Say the Words?,Do I Have to Say the Words?,['Pop rock'],1992
The Cure,71,"[""Friday I'm in Love""]",Friday I'm in Love,['Jangle pop'],1992
Ugly Kid Joe,72,Everything About You,Everything About You,['Pop-metal'],1992
Paula Abdul,73,Blowing Kisses in the Wind,Blowing Kisses in the Wind,['Pop'],1992
Bryan Adams,74,"[""Thought I'd Died and Gone to Heaven""]",Thought I'd Died and Gone to Heaven,[],1992
Snap!,75,Rhythm Is a Dancer,Rhythm Is a Dancer,"['Eurodance', 'techno']",1992
Hammer,76,Addams Groove,Addams Groove,['Pop-rap'],1992
Michael Bolton,77,Missing You Now,Missing You Now,[],1992
N2Deep,78,"""Back to the Hotel""","""Back to the Hotel""",[],1992
Kathy Troccoli,79,"""Everything Changes""","""Everything Changes""",[],1992
Def Leppard,80,Have You Ever Needed Someone So Bad,Have You Ever Needed Someone So Bad,[],1992
Richard Marx,81,Take This Heart,Take This Heart,[],1992
FireHouse,82,When I Look Into Your Eyes,When I Look Into Your Eyes,['Glam metal'],1992
Jade,83,I Wanna Love You,I Wanna Love You,[],1992
Boyz II Men,84,Uhh Ahh,Uhh Ahh,['R&B'],1992
Mary J. Blige,85,Real Love,Real Love,"['R&B', 'hip hop soul', 'new jack swing']",1992
The KLF,86,Justified and Ancient,Justified and Ancient,['House'],1992
Color Me Badd,87,Slow Motion,Slow Motion,"['R&B', 'new jack swing']",1992
TLC,88,What About Your Friends,What About Your Friends,"['New jack swing', 'R&B']",1992
Color Me Badd,89,"[""Thinkin' Back""]",Thinkin' Back,"['Contemporary R&B', 'New Jack Swing', 'Pop']",1992
Charles & Eddie,90,Would I Lie to You?,Would I Lie to You?,"['Pop', 'R&B', 'soul']",1992
Amy Grant,91,"[""That's What Love Is For""]",That's What Love Is For,['CCM'],1992
Richard Marx,92,Keep Coming Back,Keep Coming Back,['R&B'],1992
En Vogue,93,Free Your Mind,Free Your Mind,"['Hard rock', 'pop rock', 'new jack swing']",1992
Keith Sweat,94,"[""Keep It Comin'""]",Keep It Comin',['New jack swing'],1992
Mr. Big,95,Just Take My Heart,Just Take My Heart,[],1992
Amy Grant,96,I Will Remember You,I Will Remember You,['CCMpop'],1992
CeCe Peniston,97,We Got a Love Thang,We Got a Love Thang,"['House', 'dance', 'pop']",1992
Def Leppard,98,"[""Let's Get Rocked""]",Let's Get Rocked,[],1992
Das EFX,99,They Want EFX,They Want EFX,"['Hip hop', 'East Coast hip hop']",1992
Bonnie Raitt,100,"[""I Can't Make You Love Me""]",I Can't Make You Love Me,['Pop'],1992
Whitney Houston,1,I Will Always Love You,I Will Always Love You,['Country'],1993
Tag Team,2,Whoomp! (There It Is),Whoomp! (There It Is),['Miami bass'],1993
UB40,3,"[""Can't Help Falling in Love""]",Can't Help Falling in Love,['Pop'],1993
Janet Jackson,4,"[""That's the Way Love Goes""]",That's the Way Love Goes,['R&Bpopnew jack swingfunkdowntempotrip hop'],1993
Silk,5,Freak Me,Freak Me,['R&B'],1993
SWV,6,Weak,Weak,[],1993
Shai,7,If I Ever Fall in Love,If I Ever Fall in Love,"['A cappella', 'R&B']",1993
Mariah Carey,8,Dreamlover,Dreamlover,['PopR&B'],1993
Wreckx-n-Effect,9,Rump Shaker,Rump Shaker,"['Hip hop', 'new jack swing']",1993
Snow,10,Informer,Informer,"['Reggae fusion', 'hip hop', 'dancehall']",1993
Dr. Dre,11, but a ,Nuthin' but a 'G' Thang,"['G-funk', 'West Coast hip hop']",1993
Boyz II Men,12,In the Still of the Nite,In the Still of the Nite,"['Doo-wop', 'traditional pop']",1993
Jade,13,"[""Don't Walk Away""]",Don't Walk Away,['New jack swing'],1993
H-Town,14,"[""Knockin' da Boots""]",Knockin' da Boots,"['R&B', 'new jack swing']",1993
Jodeci,15,Lately,Lately,"['R&B', 'soul']",1993
Duice,16,Dazzey Duks,Dazzey Duks,"['Miami bass', 'hip hop']",1993
Robin S.,17,Show Me Love,Show Me Love,"['House', 'diva house', 'house-pop']",1993
Peabo Bryson,18,A Whole New World,A Whole New World,['Show tune'],1993
Janet Jackson,19,If,If,['R&Bnew jack swingtrip hopindustrial rockhip hop'],1993
SWV,20,"[""I'm So Into You""]",I'm So Into You,['Swingbeat'],1993
Vanessa Williams,21,Love Is,Love Is,['PopR&Bsoul'],1993
Soul Asylum,22,Runaway Train,Runaway Train,"['Alternative rock', 'folk rock', 'soft rock']",1993
Exposé,23,"[""I'll Never Get Over You (Getting Over Me)""]",I'll Never Get Over You (Getting Over Me),['Balladadult contemporary'],1993
Paperboy,24,Ditty,Ditty,['Hip hop'],1993
Snap!,25,Rhythm Is a Dancer,Rhythm Is a Dancer,"['Eurodance', 'techno']",1993
Billy Joel,26,The River of Dreams,The River of Dreams,['Gospel'],1993
The Proclaimers,27,"[""I'm Gonna Be (500 Miles)""]",I'm Gonna Be (500 Miles),"['Alternative rock', 'Celtic rock', 'folk rock']",1993
Spin Doctors,28,Two Princes,Two Princes,"['Alternative rock', 'pop rock']",1993
SWV,29,Right Here (Human Nature),Right Here (Human Nature),['R&Bnew jack swing'],1993
Whitney Houston,30,I Have Nothing,I Have Nothing,"['R&B', 'pop', 'soul']",1993
Arrested Development,31,Mr. Wendal,Mr. Wendal,['Hip hop'],1993
Rod Stewart,32,Have I Told You Lately,Have I Told You Lately,"['Celtic', 'folk rock', 'soft rock']",1993
Shanice,33,Saving Forever for You,Saving Forever for You,['Pop'],1993
Duran Duran,34,Ordinary World,Ordinary World,['Soft rock'],1993
Tony! Toni! Toné!,35,If I Had No Loot,If I Had No Loot,['New jack swing'],1993
Meat Loaf,36,d Do Anything for Love (But I Won,I'd Do Anything for Love (But I Won't Do That),['Wagnerian rock'],1993
Onyx,37,Slam,Slam,"['Hardcore hip hop', 'East Coast hip hop']",1993
P.M. Dawn,38,Looking Through Patient Eyes,Looking Through Patient Eyes,"['R&B', 'alternative hip hop']",1993
Whitney Houston,39,"[""I'm Every Woman""]",I'm Every Woman,['Disco'],1993
Shai,40,"""Baby I'm Yours""","""Baby I'm Yours""",[],1993
Duran Duran,41,Come Undone,Come Undone,['Soft rock'],1993
Tina Turner,42,"[""I Don't Wanna Fight""]",I Don't Wanna Fight,['Pop'],1993
P.M. Dawn,43,"[""I'd Die Without You""]",I'd Die Without You,['R&B'],1993
95 South,44,"Whoot, There It Is","Whoot, There It Is","['Hip hop', 'Miami bass']",1993
Naughty by Nature,45,Hip Hop Hooray,Hip Hop Hooray,['Hip hop'],1993
Toni Braxton,46,Another Sad Love Song,Another Sad Love Song,[],1993
Michael Jackson,47,Will You Be There,Will You Be There,['PopR&Bgospel'],1993
Shai,48,Comforter,Comforter,['R&B'],1993
Bobby Brown,49,"""Good Enough""","""Good Enough""",[],1993
4 Non Blondes,50,"[""What's Up?""]",What's Up?,"['Alternative rock', 'pop rock']",1993
Ace of Base,51,All That She Wants,All That She Wants,['Dance-pop'],1993
Prince,52,7,7,"['Pop rock', 'psychedelic pop']",1993
Dr. Dre,53,Dre Day,Dre Day,['G-funk'],1993
Brian McKnight,54,One Last Cry,One Last Cry,"['R&B', 'pop', 'quiet storm', 'soul']",1993
Xscape,55,"[""Just Kickin' It""]",Just Kickin' It,[],1993
2Pac,56,I Get Around,I Get Around,['Hip hop'],1993
Bon Jovi,57,Bed of Roses,Bed of Roses,[],1993
Mary J. Blige,58,Real Love,Real Love,"['R&B', 'hip hop soul', 'new jack swing']",1993
Portrait,59,"""Here We Go Again!""","""Here We Go Again!""",[],1993
Aerosmith,60,"[""Cryin'""]",Cryin',[],1993
Ugly Kid Joe,61,"[""Cat's in the Cradle""]",Cat's in the Cradle,['Folk rock'],1993
TLC,62,What About Your Friends,What About Your Friends,"['New jack swing', 'R&B']",1993
Positive K,63,I Got a Man,I Got a Man,['Hip hop'],1993
Zhané,64,Hey Mr. D.J.,Hey Mr. D.J.,['R&B'],1993
Cypress Hill,65,Insane in the Brain,Insane in the Brain,['Hip hop'],1993
Madonna,66,Deeper and Deeper,Deeper and Deeper,"['Dance-pop', 'deep house']",1993
Madonna,67,Rain,Rain,['PopR&B'],1993
Jeremy Jordan,68,The Right Kind of Love,The Right Kind of Love,[],1993
Inner Circle,69,Bad Boys,Bad Boys,['Reggae'],1993
Boy Krazy,70,"[""That's What Love Can Do""]",That's What Love Can Do,['Pop/Dance'],1993
Jon Secada,71,Do You Believe in Us,Do You Believe in Us,[],1993
Jon Secada,72,Angel,Angel,['Rock'],1993
Kenny G,73,Forever in Love,Forever in Love,[],1993
Janet Jackson,74,Again,Again,['Pop'],1993
DJ Jazzy Jeff & The Fresh Prince,75,Boom! Shake the Room,Boom! Shake the Room,[],1993
Restless Heart,76,When She Cries,When She Cries,['Country rocksoft rock'],1993
Inner Circle,77,Sweat (A La La La La Long),Sweat (A La La La La Long),['Reggae fusion'],1993
Ice Cube,78,It Was a Good Day,It Was a Good Day,"['Hip hop', 'G-funk']",1993
Captain Hollywood Project,79,More and More,More and More,"['Eurodance', 'house']",1993
The Heights,80,How Do You Talk to an Angel,How Do You Talk to an Angel,['Pop rock'],1993
Digable Planets,81,Rebirth of Slick (Cool Like Dat),Rebirth of Slick (Cool Like Dat),['Jazz rap'],1993
Haddaway,82,What Is Love,What Is Love,"['Eurodance', 'dance-pop']",1993
Michael Bolton,83,To Love Somebody,To Love Somebody,['Blue-eyed soul'],1993
En Vogue,84,"Give It Up, Turn It Loose","Give It Up, Turn It Loose",[],1993
Kris Kross,85,Alright,Alright,"['Hip hop', 'dancehall', 'reggae fusion']",1993
Ice Cube,86,Check Yo Self,Check Yo Self,['Gangsta rapG-funkWest Coast hip hop'],1993
Sting,87,Fields of Gold,Fields of Gold,[],1993
Dino,88,Ooh Child,Ooh Child,"['Pop', 'R&B', 'chicago soul']",1993
Go West,89,Faithful,Faithful,[],1993
Rod Stewart,90,Reason to Believe,Reason to Believe,[],1993
Tears for Fears,91,Break It Down Again,Break It Down Again,[],1993
Joey Lawrence,92, My Love Can,Nothin' My Love Can't Fix,[],1993
Green Jellÿ,93,Three Little Pigs,Three Little Pigs,"['Comedy rock', 'heavy metal']",1993
Aerosmith,94,"[""Livin' on the Edge""]",Livin' on the Edge,[],1993
Gin Blossoms,95,Hey Jealousy,Hey Jealousy,"['Alternative rock', 'pop rock', 'post-grunge']",1993
Sting,96,If I Ever Lose My Faith in You,If I Ever Lose My Faith in You,[],1993
Tony! Toni! Toné!,97,Anniversary,Anniversary,['R&B'],1993
Jade,98,One Woman,One Woman,[],1993
Taylor Dayne,99,"[""Can't Get Enough of Your Love""]",Can't Get Enough of Your Love,"['Soul', 'disco']",1993
Def Leppard,100,Two Steps Behind,Two Steps Behind,[],1993
Ace of Base,1,The Sign,The Sign,['Techno-reggaepopEuropop'],1994
All-4-One,2,I Swear,I Swear,['Country'],1994
Boyz II Men,3,"[""I'll Make Love to You""]",I'll Make Love to You,['R&B'],1994
Celine Dion,4,The Power of Love,The Power of Love,['Pop'],1994
Mariah Carey,5,Hero,Hero,['J-pop'],1994
Lisa Loeb and Nine Stories,6,Stay (I Missed You),Stay (I Missed You),['Folk rock'],1994
Toni Braxton,7,Breathe Again,Breathe Again,[],1994
Bryan Adams,8,All for Love,All for Love,['Arena rock'],1994
[],9,All That She Wants,All That She Wants,['Dance-pop'],1994
[],10,"[""Don't Turn Around""]",Don't Turn Around,['Rock'],1994
R. Kelly,11,"[""Bump n' Grind""]",Bump n' Grind,['R&B'],1994
Janet Jackson,12,Again,Again,['Pop'],1994
Madonna,13,"[""I'll Remember""]",I'll Remember,['Pop'],1994
Salt-n-Pepa,14,Whatta Man,Whatta Man,['Soul'],1994
John Mellencamp,15,Wild Night,Wild Night,['RockR&B'],1994
[],16,Without You,Without You/Never Forget You,['Pop'],1994
[],17,You Mean the World to Me,You Mean the World to Me,['Pop-soul'],1994
Elton John,18,Can You Feel the Love Tonight,Can You Feel the Love Tonight,['Pop'],1994
Prince,19,The Most Beautiful Girl in the World,The Most Beautiful Girl in the World,"['R&B', 'soul-pop']",1994
Coolio,20,Fantastic Voyage,Fantastic Voyage,['G-funk'],1994
Big Mountain,21,"Baby, I Love Your Way","Baby, I Love Your Way","['Arena rock', 'soft rock']",1994
Warren G,22,Regulate,Regulate,"['West Coast hip hop', 'G-funk', 'gangsta rap', 'R&B']",1994
Jon Secada,23,If You Go,If You Go,[],1994
Aaliyah,24,Back & Forth,Back & Forth,['DancepopR&Bnew jack swing'],1994
Richard Marx,25,Now and Forever,Now and Forever,['Soft rock'],1994
Babyface,26,When Can I See You,When Can I See You,"['R&B', 'soft rock', 'adult contemporary']",1994
[],27,Please Forgive Me,Please Forgive Me,['Soft rock'],1994
[],28,So Much in Love,So Much in Love,['Doo-wop'],1994
Salt-n-Pepa,29,Shoop,Shoop,['Hip hop'],1994
[],30,"Any Time, Any Place","Any Time, Any Place/And On and On",['R&Bsoulquiet storm'],1994
Collective Soul,31,Shine,Shine,"['Alternative rock', 'post-grunge']",1994
Michael Bolton,32,Said I Loved You...But I Lied,Said I Loved You...But I Lied,[],1994
Enigma,33,Return to Innocence,Return to Innocence,"['New-age', 'worldbeat']",1994
Sheryl Crow,34,All I Wanna Do,All I Wanna Do,['Country pop'],1994
Crash Test Dummies,35,Mmm Mmm Mmm Mmm,Mmm Mmm Mmm Mmm,['Alternative rock'],1994
Tevin Campbell,36,Can We Talk,Can We Talk,['R&B'],1994
Da Brat,37,Funkdafied,Funkdafied,['G-funk'],1994
Meat Loaf,38,d Do Anything for Love (But I Won,I'd Do Anything for Love (But I Won't Do That),['Wagnerian rock'],1994
DRS,39,Gangsta Lean,Gangsta Lean,['R&B'],1994
"10,000 Maniacs",40,Because the Night,Because the Night,['Rock'],1994
Us3,41,Cantaloop (Flip Fantasia),Cantaloop (Flip Fantasia),"['Jazz rap', 'acid jazz']",1994
Tag Team,42,Whoomp! (There It Is),Whoomp! (There It Is),['Miami bass'],1994
Melissa Etheridge,43,Come to My Window,Come to My Window,[],1994
Changing Faces,44,Stroke You Up,Stroke You Up,['R&B'],1994
[],45,"[""I'm Ready""]",I'm Ready,[],1994
Crystal Waters,46,100% Pure Love,100% Pure Love,"['House', 'dance-pop']",1994
[],47,Anytime You Need a Friend,Anytime You Need a Friend,"['Gospel', 'pop', 'R&B']",1994
[],48,Because of Love,Because of Love,['Popfunk'],1994
The Cranberries,49,Linger,Linger,"['Alternative rock', 'pop']",1994
Beck,50,Loser,Loser,"['Alternative rock', 'hip hop']",1994
Gin Blossoms,51,Found Out About You,Found Out About You,"['Jangle pop', 'alternative rock']",1994
Snoop Doggy Dogg,52,Gin and Juice,Gin and Juice,['G-funk'],1994
Immature,53,Never Lie,Never Lie,['R&B'],1994
Bruce Springsteen,54,Streets of Philadelphia,Streets of Philadelphia,['Soft rock'],1994
Domino,55,Getto Jam,Getto Jam,['Hip hop'],1994
Luther Vandross,56,Endless Love,Endless Love,['R&B'],1994
Aaron Hall,57,I Miss You,I Miss You,['R&B'],1994
Xscape,58,Understanding,Understanding,['R&Bhip hop soul'],1994
Warren G,59,This D.J.,This D.J.,['G-funk'],1994
Jodeci,60,Cry for You,Cry for You,"['R&B', 'soul']",1994
2Pac,61,Keep Ya Head Up,Keep Ya Head Up,"['Hip hop', 'R&B']",1994
[],62,"[""What's My Name?""]",What's My Name?,['G-funk'],1994
Real McCoy,63,Another Night,Another Night,['Eurodance'],1994
[],64,s Callin,Your Body's Callin',[],1994
69 Boyz,65,Tootsee Roll,Tootsee Roll,"['Hip hop', 'Southern hip hop', 'Miami bass']",1994
Jimmy Cliff,66,I Can See Clearly Now,I Can See Clearly Now,"['Reggae', 'soul', 'R&B']",1994
[],67,Never Keeping Secrets,Never Keeping Secrets,['R&Bsoul'],1994
Aerosmith,68,Crazy,Crazy,"['Blues rock', 'glam metal']",1994
[],69,"[""Just Kickin' It""]",Just Kickin' It,[],1994
[],70,(At Your Best) You Are Love,(At Your Best) You Are Love,['R&B'],1994
[],71,Rock and Roll Dreams Come Through,Rock and Roll Dreams Come Through,[],1994
[],72,Amazing,Amazing,['Rock'],1994
Erasure,73,Always,Always,"['Disco', 'Euro-pop', 'synth-pop']",1994
Zhané,74,Groove Thang,Groove Thang,['Dance'],1994
Gabrielle,75,Dreams,Dreams,['British soul'],1994
Culture Beat,76,Mr. Vain,Mr. Vain,"['Eurodance', 'house']",1994
Tom Petty and the Heartbreakers,77,"[""Mary Jane's Last Dance""]",Mary Jane's Last Dance,[],1994
SWV,78,Anything,Anything,"['R&B', 'hip hop', 'new jack swing']",1994
Joshua Kadison,79,Beautiful in My Eyes,Beautiful in My Eyes,[],1994
Eternal,80,Stay,Stay,['New jack swing'],1994
Craig Mack,81,Flava in Ya Ear,Flava in Ya Ear,['Hip hop'],1994
Queen Latifah,82,U.N.I.T.Y.,U.N.I.T.Y.,['Hip hop'],1994
Seal,83,Prayer for the Dying,Prayer for the Dying,[],1994
[],84,Secret,Secret,['R&Bpop'],1994
Ini Kamoze,85,Here Comes the Hotstepper,Here Comes the Hotstepper,"['Hip hop', 'reggae fusion']",1994
Phil Collins,86,Everyday,Everyday,[],1994
Tim McGraw,87,"[""Don't Take the Girl""]",Don't Take the Girl,['Country'],1994
Heavy D & the Boyz,88,"""Got Me Waiting""","""Got Me Waiting""",[],1994
The Four Seasons,89,"December, 1963 (Oh, What a Night)","December, 1963 (Oh, What a Night)","['Disco', 'pop', 'funk']",1994
[],90,Indian Outlaw,Indian Outlaw,['Country'],1994
Bon Jovi,91,Always,Always,['Rock'],1994
[],92,"[""I'm the Only One""]",I'm the Only One,[],1994
Ahmad,93,Back in the Day,Back in the Day,['West Coast hip hop'],1994
Bonnie Raitt,94,"[""Love Sneakin' Up On You""]",Love Sneakin' Up On You,[],1994
General Public,95,"[""I'll Take You There""]",I'll Take You There,['Funk'],1994
[],96,Always in My Heart,Always in My Heart,[],1994
Haddaway,97,What Is Love,What Is Love,"['Eurodance', 'dance-pop']",1994
[],98,And Our Feelings,And Our Feelings,['R&Bsoul'],1994
Ice Cube,99,Bop Gun (One Nation),Bop Gun (One Nation),['G-funk'],1994
Brandy,100,I Wanna Be Down,I Wanna Be Down,"['R&B', 'hip hop soul']",1994
Coolio,1,"[""Gangsta's Paradise""]",Gangsta's Paradise,"['Hip hop', 'gangsta rap', 'G-funk']",1995
TLC,2,Waterfalls,Waterfalls,['R&B'],1995
[],3,Creep,Creep,['R&B'],1995
Seal,4,Kiss from a Rose,Kiss from a Rose,"['Rock', 'soul']",1995
Boyz II Men,5,On Bended Knee,On Bended Knee,['R&B'],1995
Real McCoy,6,Another Night,Another Night,['Eurodance'],1995
Mariah Carey,7,Fantasy,Fantasy,['Pop soul'],1995
Madonna,8,Take a Bow,Take a Bow,['Orchestral popR&Bblue-eyed soul'],1995
Monica,9,"[""Don't Take It Personal (Just One of Dem Days)""]",Don't Take It Personal (Just One of Dem Days),"['R&B', 'hip hop soul']",1995
Montell Jordan,10,This Is How We Do It,This Is How We Do It,"['New jack swing', 'hip hop soul', 'R&B']",1995
Dionne Farris,11,I Know,I Know,[],1995
[],12,Water Runs Dry,Water Runs Dry,['R&B'],1995
Adina Howard,13,Freak Like Me,Freak Like Me,"['R&B', 'hip hop soul']",1995
Blues Traveler,14,Run-Around,Run-Around,['Alternative rock'],1995
All-4-One,15,I Can Love You Like That,I Can Love You Like That,['Country'],1995
Bryan Adams,16,Have You Ever Really Loved a Woman?,Have You Ever Really Loved a Woman?,['Latin rock'],1995
Bon Jovi,17,Always,Always,['Rock'],1995
Shaggy,18,Boombastic,Boombastic/In the Summertime,"['Reggae fusion', 'pop']",1995
Nicki French,19,Total Eclipse of the Heart,Total Eclipse of the Heart,['Pop rock'],1995
"[""Des'ree""]",20,You Gotta Be,You Gotta Be,"['R&B', 'soul']",1995
Michael Jackson,21,You Are Not Alone,You Are Not Alone,"['Pop', 'R&B']",1995
Hootie & the Blowfish,22,Hold My Hand,Hold My Hand,"['Alternative rock', 'pop rock', 'roots rock']",1995
The Notorious B.I.G.,23,One More Chance/Stay with Me,One More Chance/Stay with Me,['Hip hop'],1995
Ini Kamoze,24,Here Comes the Hotstepper,Here Comes the Hotstepper,"['Hip hop', 'reggae fusion']",1995
Soul for Real,25,Candy Rain,Candy Rain,[],1995
[],26,Let Her Cry,Let Her Cry,['Pop rock'],1995
Blessid Union of Souls,27,I Believe,I Believe,[],1995
[],28,Red Light Special,Red Light Special,[],1995
Janet Jackson,29,Runaway,Runaway,"['Pop', 'dance', 'Worldbeat']",1995
Sheryl Crow,30,Strong Enough,Strong Enough,['Folk'],1995
Vanessa Williams,31,Colors of the Wind,Colors of the Wind,['Pop ballad'],1995
Jon B.,32,Someone to Love,Someone to Love,[],1995
[],33,Only Wanna Be with You,Only Wanna Be with You,"['Alternative rock', 'roots rock']",1995
Brownstone,34,If You Love Me,If You Love Me,['R&B'],1995
Martin Page,35,In the House of Stone and Light,In the House of Stone and Light,"['Pop rock', 'soft rock']",1995
Luniz,36,I Got 5 on It,I Got 5 on It,"['West Coast hip hop', 'R&B']",1995
Brandy,37,Baby,Baby,"['R&B', 'pop', 'hip hop']",1995
[],38,Run Away,Run Away,['Eurodance'],1995
Sophie B. Hawkins,39,As I Lay Me Down,As I Lay Me Down,['Pop'],1995
MoKenStef,40,"[""He's Mine""]",He's Mine,['R&B'],1995
Collective Soul,41,December,December,['Alternative rock'],1995
Method Man,42,ll Be There for You/You,I'll Be There for You/You're All I Need to Get By,"['Hip hop', 'hip hop soul']",1995
Diana King,43,Shy Guy,Shy Guy,"['Reggae fusion', 'dancehall']",1995
Melissa Etheridge,44,"[""I'm the Only One""]",I'm the Only One,[],1995
Soul for Real,45,Every Little Thing I Do,Every Little Thing I Do,['R&B'],1995
Blackstreet,46,Before I Let You Go,Before I Let You Go,['R&B'],1995
[],47,Big Poppa,Big Poppa,['Hip hopdirty rap'],1995
4 P.M.,48,Sukiyaki,Sukiyaki,['Kayōkyoku'],1995
[],49,I Wanna Be Down,I Wanna Be Down,"['R&B', 'hip hop soul']",1995
[],50,"[""I'll Make Love to You""]",I'll Make Love to You,['R&B'],1995
2Pac,51,Dear Mama,Dear Mama,['Hip hop'],1995
Jamie Walters,52,"""Hold On""","""Hold On""",[],1995
Dr. Dre,53,"[""Keep Their Heads Ringin'""]",Keep Their Heads Ringin',"['West Coast hip hop', 'gangsta rap', 'G-funk', 'R&B']",1995
Corona,54,The Rhythm of the Night,The Rhythm of the Night,"['Eurodance', 'Europop', 'Synth-pop', 'House']",1995
Del Amitri,55,Roll to Me,Roll to Me,['Pop rock'],1995
[],56,Scream,Scream/Childhood,['Dance-popR&Belectronic rockfunk'],1995
Jodeci,57,"[""Freek'n You""]",Freek'n You,['R&B'],1995
Skee-Lo,58,I Wish,I Wish,['Alternative hip hop'],1995
Elton John,59,Believe,Believe,"['Symphonic music', 'soft rock']",1995
Natalie Merchant,60,Carnival,Carnival,[],1995
Tom Petty,61,"[""You Don't Know How It Feels""]",You Don't Know How It Feels,"['Blues rock', 'roots rock', 'country rock', 'folk rock']",1995
Take That,62,Back for Good,Back for Good,['Pop'],1995
69 Boyz,63,Tootsee Roll,Tootsee Roll,"['Hip hop', 'Southern hip hop', 'Miami bass']",1995
[],64,You Want This,You Want This,['New jack swingfunk'],1995
Groove Theory,65,Tell Me,Tell Me,['R&B'],1995
Total,66,"[""Can't You See""]",Can't You See,['R&Bhip hop soul'],1995
Sheryl Crow,67,All I Wanna Do,All I Wanna Do,['Country pop'],1995
Subway,68,"[""This Lil' Game We Play""]",This Lil' Game We Play,"['R&B', 'pop']",1995
[],69,Come and Get Your Love,Come and Get Your Love,"['Pop rock', 'disco', 'dance-rock']",1995
Bon Jovi,70,"[""This Ain't a Love Song""]",This Ain't a Love Song,['Rock'],1995
[],71,Secret,Secret,['R&Bpop'],1995
Junior M.A.F.I.A.,72,"[""Player's Anthem""]",Player's Anthem,['Gangsta rap'],1995
Naughty by Nature,73,Feel Me Flow,Feel Me Flow,['Hip hop'],1995
Jade,74,Every Day of the Week,Every Day of the Week,"['R&B', 'new jack swing']",1995
Vanessa Williams,75,The Sweetest Days,The Sweetest Days,['Pop'],1995
20 Fingers,76,Short Dick Man,Short Dick Man,"['House', 'novelty']",1995
[],77,Brokenhearted,Brokenhearted,[],1995
Annie Lennox,78,"[""No More I Love You's""]",No More I Love You's,['New wave'],1995
Faith Evans,79,You Used to Love Me,You Used to Love Me,['R&B'],1995
Immature,80,Constantly,Constantly,['R&B'],1995
U2,81,"Hold Me, Thrill Me, Kiss Me, Kill Me","Hold Me, Thrill Me, Kiss Me, Kill Me","['Alternative rock', 'glam rock']",1995
Crystal Waters,82,100% Pure Love,100% Pure Love,"['House', 'dance-pop']",1995
Raphael Saadiq,83,Ask of You,Ask of You,['Neo soul'],1995
AZ,84,"""Sugar Hill""","""Sugar Hill""",[],1995
Better Than Ezra,85,Good,Good,"['Alternative rock', 'post-grunge']",1995
"[""D'Angelo""]",86,Brown Sugar,Brown Sugar,['R&Bneo soul'],1995
Gloria Estefan,87,Turn the Beat Around,Turn the Beat Around,['Disco'],1995
After 7,88,"[""'Til You Do Me Right""]",'Til You Do Me Right,[],1995
Bone Thugs-n-Harmony,89,1st of tha Month,1st of tha Month,['Hip hopG-funkR&B'],1995
[],90,Like the Way I Do,Like the Way I Do/If I Wanted To,[],1995
FireHouse,91,I Live My Life for You,I Live My Life for You,"['Acoustic rock', 'glam metal']",1995
Stevie B,92,"""Dream About You"" / ""Funky Melody""","""Dream About You"" / ""Funky Melody""",[],1995
Rednex,93,Cotton Eye Joe,Cotton Eye Joe,"['Techno', 'country', 'Eurodance']",1995
[],94,Thank You,Thank You,"['R&B', 'new jack swing']",1995
The Pretenders,95,"[""I'll Stand by You""]",I'll Stand by You,['Country'],1995
N II U,96,I Miss You,I Miss You,['R&B'],1995
Da Brat,97,Give It 2 You,Give It 2 You,['G-funk'],1995
[],98,Best Friend,Best Friend,"['R&B', 'pop']",1995
Soul Asylum,99,Misery,Misery,['Alternative rock'],1995
Van Halen,100,t Stop Lovin,Can't Stop Lovin' You,[],1995
Los del Río,1,Macarena,Macarena,"['Flamenco', 'pop']",1996
Mariah Carey,2,One Sweet Day,One Sweet Day,['R&B'],1996
Celine Dion,3,Because You Loved Me,Because You Loved Me,['Pop'],1996
The Tony Rich Project,4,Nobody Knows,Nobody Knows,['Country'],1996
Mariah Carey,5,Always Be My Baby,Always Be My Baby,"['Pop', 'R&B']",1996
Tracy Chapman,6,Give Me One Reason,Give Me One Reason,['Blues rock'],1996
Bone Thugs-n-Harmony,7,Tha Crossroads,Tha Crossroads,['Hip hop'],1996
Donna Lewis,8,I Love You Always Forever,I Love You Always Forever,['Pop'],1996
Toni Braxton,9,re Makin,You're Makin' Me High/Let It Flow,['R&B'],1996
Keith Sweat,10,Twisted,Twisted,['R&B'],1996
"[""Quad City DJ's""]",11,mon N,C'mon N' Ride It (The Train),[],1996
Everything but the Girl,12,Missing,Missing,"['Deep house', 'dance-pop']",1996
Alanis Morissette,13,Ironic,Ironic,"['Alternative rock', 'post-grunge']",1996
Whitney Houston,14,Exhale (Shoop Shoop),Exhale (Shoop Shoop),['R&Bsoul'],1996
Gin Blossoms,15,Follow You Down,Follow You Down/Til I Hear It from You,['Alternative rock'],1996
Brandy,16,"[""Sittin' Up in My Room""]",Sittin' Up in My Room,['R&B'],1996
2Pac,17,How Do U Want It,How Do U Want It/California Love,"['Hip hop', 'R&B']",1996
Celine Dion,18,"[""It's All Coming Back to Me Now""]",It's All Coming Back to Me Now,['Soft rock'],1996
